City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.38,78,100,3.88,PN,1683408182
1,puerto natales,-51.7236,-72.4875,7.31,72,9,3.78,CL,1683408182
2,nola,40.922,14.5329,17.57,85,2,0.75,IT,1683408183
3,kodiak,57.79,-152.4072,5.73,81,100,3.09,US,1683408270
4,waitangi,-43.9535,-176.5597,15.46,93,100,1.79,NZ,1683408270
5,punta arenas,-53.15,-70.9167,8.06,71,20,7.72,CL,1683408271
6,port-aux-francais,-49.35,70.2167,4.36,60,77,13.22,TF,1683408271
7,jamestown,42.097,-79.2353,18.8,45,0,3.6,US,1683407975
8,edinburgh of the seven seas,-37.0676,-12.3116,15.51,74,100,6.64,SH,1683408272
9,invercargill,-46.4,168.35,8.34,95,36,1.34,NZ,1683408273
10,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,56,40,7.0,RU,1683408273
11,enewetak,11.3474,162.3373,27.42,82,90,8.07,MH,1683408072
12,puerto ayora,-0.7393,-90.3518,30.98,91,96,2.68,EC,1683408274
13,port mathurin,-19.6833,63.4167,25.96,71,50,8.52,MU,1683408274
14,remire-montjoly,4.9167,-52.2667,28.02,78,75,3.6,GF,1683408275
15,klyuchi,52.2667,79.1667,14.09,35,2,3.45,RU,1683408275
16,longyearbyen,78.2186,15.6401,-1.09,80,75,2.06,SJ,1683408276
17,pachino,36.7186,15.0907,16.72,75,0,3.5,IT,1683408276
18,albany,42.6001,-73.9662,21.58,37,34,4.46,US,1683408218
19,sandnessjoen,66.0217,12.6316,5.92,58,99,0.45,NO,1683408277
20,talnakh,69.4865,88.3972,-18.87,98,74,0.77,RU,1683408278
21,nogliki,51.8333,143.1667,1.86,74,100,3.2,RU,1683408278
22,grytviken,-54.2811,-36.5092,4.16,80,100,7.33,GS,1683408279
23,atafu village,-8.5421,-172.5159,29.0,73,0,6.14,TK,1683408279
24,vanimo,-2.6741,141.3028,25.83,89,71,1.65,PG,1683408280
25,smithers,54.7804,-127.1743,12.18,71,100,4.12,CA,1683408280
26,bethel,41.3712,-73.414,22.8,37,0,3.6,US,1683408280
27,sellersburg,38.3981,-85.755,25.83,57,79,1.79,US,1683408281
